'Id','Group','Trtgrp','Age','B_amp','A_amp'
1,2,'A',15,351,9999
1,2,'A',20,527,9999
1,2,'A',34,280,9999
2,2,'A',15,173,9999
2,2,'A',20,326,9999
2,2,'A',34,9999,9999
3,2,'A',15,300,9999
3,2,'A',20,770,9999
3,2,'A',34,820,9999
4,2,'A',15,301,9999
4,2,'A',20,410,9999
4,2,'A',34,365,9999
5,2,'A',15,324,9999
5,2,'A',20,317,9999
5,2,'A',34,878,9999
6,2,'A',15,214,9999
6,2,'A',20,521,9999
6,2,'A',34,871,9999
7,2,'A',15,283,9999
7,2,'A',20,491,9999
7,2,'A',34,482,9999
8,2,'A',15,222,9999
8,2,'A',20,437,9999
8,2,'A',34,501,9999
9,2,'A',15,551,9999
9,2,'A',20,515,9999
9,2,'A',34,378,9999
10,2,'A',15,631,9999
10,2,'A',20,580,9999
10,2,'A',34,1233,9999
11,2,'A',15,577,9999
11,2,'A',20,595,9999
11,2,'A',34,462,9999
12,2,'A',15,423,9999
12,2,'A',20,422,9999
12,2,'A',34,424,9999
13,2,'B',15,209,9999
13,2,'B',20,500,9999
13,2,'B',34,471,9999
14,2,'B',15,143,9999
14,2,'B',20,556,9999
14,2,'B',34,502,9999
15,2,'B',15,227,9999
15,2,'B',20,487,9999
15,2,'B',34,9999,9999
16,2,'B',15,214,9999
16,2,'B',20,668,9999
16,2,'B',34,659,9999
17,2,'B',15,146,9999
17,2,'B',20,278,9999
17,2,'B',34,9999,9999
18,2,'B',15,191,9999
18,2,'B',20,451,9999
18,2,'B',34,626,9999
19,2,'B',15,448,9999
19,2,'B',20,521,9999
19,2,'B',34,328,9999
20,2,'B',15,191,9999
20,2,'B',20,435,9999
20,2,'B',34,481,9999
21,2,'B',15,9999,9999
21,2,'B',20,513,9999
21,2,'B',34,1186,9999
22,2,'B',15,360,9999
22,2,'B',20,330,9999
22,2,'B',34,697,9999
23,2,'B',15,307,9999
23,2,'B',20,314,9999
23,2,'B',34,671,9999
24,2,'B',15,451,9999
24,2,'B',20,564,9999
24,2,'B',34,781,9999
25,2,'B',15,746,9999
25,2,'B',20,757,9999
25,2,'B',34,954,9999
26,2,'B',15,322,9999
26,2,'B',20,389,9999
26,2,'B',34,618,9999
27,2,'B',15,271,9999
27,2,'B',20,790,9999
27,2,'B',34,455,9999
28,2,'B',15,231,9999
28,2,'B',20,772,9999
28,2,'B',34,1193,9999
29,2,'B',15,184,9999
29,2,'B',20,605,9999
29,2,'B',34,576,9999
30,2,'B',15,238,9999
30,2,'B',20,692,9999
30,2,'B',34,769,9999
31,2,'B',15,282,9999
31,2,'B',20,589,9999
31,2,'B',34,1167,9999
32,2,'C',15,320,9999
32,2,'C',20,604,9999
32,2,'C',34,1049,9999
33,2,'C',15,312,9999
33,2,'C',20,341,9999
33,2,'C',34,905,9999
34,2,'C',15,230,9999
34,2,'C',20,422,9999
34,2,'C',34,403,9999
35,2,'C',15,164,9999
35,2,'C',20,298,9999
35,2,'C',34,563,9999
36,2,'C',15,322,9999
36,2,'C',20,319,9999
36,2,'C',34,247,9999
37,2,'C',15,244,9999
37,2,'C',20,460,9999
37,2,'C',34,440,9999
38,2,'C',15,334,9999
38,2,'C',20,338,9999
38,2,'C',34,693,9999
39,2,'C',15,335,9999
39,2,'C',20,838,9999
39,2,'C',34,9999,9999
40,2,'C',15,314,9999
40,2,'C',20,856,9999
40,2,'C',34,655,9999
41,2,'C',15,258,9999
41,2,'C',20,782,9999
41,2,'C',34,589,9999
42,2,'C',15,240,9999
42,2,'C',20,419,9999
42,2,'C',34,438,9999
43,2,'C',15,442,9999
43,2,'C',20,863,9999
43,2,'C',34,966,9999
44,2,'C',15,285,9999
44,2,'C',20,407,9999
44,2,'C',34,947,9999
45,2,'C',15,225,9999
45,2,'C',20,347,9999
45,2,'C',34,9999,9999
46,2,'C',15,459,9999
46,2,'C',20,944,9999
46,2,'C',34,819,9999
47,2,'C',15,284,9999
47,2,'C',20,750,9999
47,2,'C',34,763,9999
48,2,'C',15,338,9999
48,2,'C',20,666,9999
48,2,'C',34,701,9999
1,1,'A',15,14,8
1,1,'A',20,14,6
1,1,'A',35,15,0
2,1,'A',15,41,22
2,1,'A',20,28,10
2,1,'A',35,18,0
3,1,'A',15,34,17
3,1,'A',20,40,28
3,1,'A',35,45,18
4,1,'A',15,53,17
4,1,'A',20,32,8
4,1,'A',35,10,0
5,1,'A',15,23,16
5,1,'A',20,13,4
5,1,'A',35,0,0
6,1,'A',15,13,7
6,1,'A',20,28,17
6,1,'A',35,0,0
7,1,'A',15,12,7
7,1,'A',20,18,13
7,1,'A',35,8,5
8,1,'A',15,50,17
8,1,'A',20,19,10
8,1,'A',35,10,11
9,1,'A',15,25,16
9,1,'A',20,9,3
9,1,'A',35,7,3
10,1,'B',15,15,0
10,1,'B',20,22,6
10,1,'B',35,18,5
11,1,'B',15,14,8
11,1,'B',20,12,3
11,1,'B',35,9999,9999
12,1,'B',15,20,12
12,1,'B',20,15,0
12,1,'B',35,14,0
13,1,'B',15,7,0
13,1,'B',20,11,7
13,1,'B',35,3,0
14,1,'B',15,17,6
14,1,'B',20,22,8
14,1,'B',35,22,15
15,1,'B',15,36,33
15,1,'B',20,15,6
15,1,'B',35,5,2
16,1,'B',15,42,8
16,1,'B',20,27,11
16,1,'B',35,20,7
17,1,'B',15,10,0
17,1,'B',20,27,6
17,1,'B',35,32,23
18,1,'B',15,10,4
18,1,'B',20,12,5
18,1,'B',35,7,0
19,1,'B',15,38,23
19,1,'B',20,11,5
19,1,'B',35,11,3
20,1,'B',15,24,8
20,1,'B',20,18,14
20,1,'B',35,12,4
21,1,'B',15,17,11
21,1,'B',20,21,11
21,1,'B',35,9999,9999
22,1,'B',15,20,0
22,1,'B',20,18,3
22,1,'B',35,26,15
23,1,'C',15,38,29
23,1,'C',20,32,23
23,1,'C',35,29,19
24,1,'C',15,19,10
24,1,'C',20,4,0
24,1,'C',35,30,14
25,1,'C',15,66,33
25,1,'C',20,39,16
25,1,'C',35,14,9
26,1,'C',15,13,5
26,1,'C',20,33,25
26,1,'C',35,9,3
27,1,'C',15,23,12
27,1,'C',20,17,5
27,1,'C',35,28,6
28,1,'C',15,33,7
28,1,'C',20,18,5
28,1,'C',35,8,2
29,1,'C',15,23,10
29,1,'C',20,31,15
29,1,'C',35,11,2
30,1,'C',15,19,6
30,1,'C',20,18,10
30,1,'C',35,17,9
31,1,'C',15,33,12
31,1,'C',20,12,8
31,1,'C',35,20,9
32,1,'C',15,13,5
32,1,'C',20,12,5
32,1,'C',35,28,20
