'Date','Out_temp','Room','In_temp','Cor_fac','Typ_wea'
4/2/1993,33,1,59,0,3
4/2/1993,33,2,59,0,3
4/2/1993,33,3,61,0,3
4/2/1993,33,4,60.5,0,3
4/2/1993,33,5,64,0,3
4/2/1993,33,6,64,0,3
4/2/1993,33,7,65.5,0,3
4/2/1993,33,8,65,0,3
4/2/1993,33,9,65,0,3
4/2/1993,33,10,61,0,3
4/2/1993,33,11,59,0,3
4/2/1993,33,12,64,0,3
4/2/1993,33,13,65.5,0,3
4/2/1993,33,14,61.5,0,3
4/2/1993,33,15,62.5,0,3
4/2/1993,33,16,60.5,0,3
4/2/1993,33,17,59.5,0,3
4/2/1993,33,18,59,0,3
4/2/1993,33,19,59.5,0,3
4/2/1993,33,20,58,0,3
4/2/1993,33,21,61.5,0,3
4/3/1993,39,1,60,0,4
4/3/1993,39,2,62.5,0,4
4/3/1993,39,3,63,0,4
4/3/1993,39,4,62.5,0,4
4/3/1993,39,5,64,0,4
4/3/1993,39,6,64.5,0,4
4/3/1993,39,7,66,0,4
4/3/1993,39,8,65,0,4
4/3/1993,39,9,65,0,4
4/3/1993,39,10,64.5,0,4
4/3/1993,39,11,58,0,4
4/3/1993,39,12,64.5,0,4
4/3/1993,39,13,65.5,0,4
4/3/1993,39,14,62.5,0,4
4/3/1993,39,15,65,0,4
4/3/1993,39,16,65,0,4
4/3/1993,39,17,66,0,4
4/3/1993,39,18,64,0,4
4/3/1993,39,19,64,0,4
4/3/1993,39,20,64,0,4
4/3/1993,39,21,66,0,4
4/6/1993,37,1,61.5,0,9
4/6/1993,37,2,57,0,9
4/6/1993,37,3,65.5,0,9
4/6/1993,37,4,66,0,9
4/6/1993,37,5,65,0,9
4/6/1993,37,6,63.5,0,9
4/6/1993,37,7,66,0,9
4/6/1993,37,8,67,0,9
4/6/1993,37,9,66,0,9
4/6/1993,37,10,60.5,0,9
4/6/1993,37,11,66.5,0,9
4/6/1993,37,12,65.5,0,9
4/6/1993,37,13,65,0,9
4/6/1993,37,14,65,0,9
4/6/1993,37,15,65,0,9
4/6/1993,37,16,63,0,9
4/6/1993,37,17,64.5,0,9
4/6/1993,37,18,62.5,0,9
4/6/1993,37,19,63,0,9
4/6/1993,37,20,61.5,0,9
4/6/1993,37,21,64,0,9
4/7/1993,44,1,65.5,0,1
4/7/1993,44,2,66,0,1
4/7/1993,44,3,68,0,1
4/7/1993,44,4,66.5,0,1
4/7/1993,44,5,67.5,0,1
4/7/1993,44,6,64,0,1
4/7/1993,44,7,66.5,0,1
4/7/1993,44,8,67,0,1
4/7/1993,44,9,65,0,1
4/7/1993,44,10,67,0,1
4/7/1993,44,11,62.5,0,1
4/7/1993,44,12,66.5,0,1
4/7/1993,44,13,67.5,0,1
4/7/1993,44,14,67,0,1
4/7/1993,44,15,65.5,0,1
4/7/1993,44,16,65.5,0,1
4/7/1993,44,17,64,0,1
4/7/1993,44,18,63.5,0,1
4/7/1993,44,19,64.5,0,1
4/7/1993,44,20,65,0,1
4/7/1993,44,21,65.5,0,1
4/8/1993,48,1,64,0,1
4/8/1993,48,2,60,0,1
4/8/1993,48,3,67,0,1
4/8/1993,48,4,66,0,1
4/8/1993,48,5,68,0,1
4/8/1993,48,6,66.5,0,1
4/8/1993,48,7,68,0,1
4/8/1993,48,8,68,0,1
4/8/1993,48,9,64.5,0,1
4/8/1993,48,10,68,0,1
4/8/1993,48,11,62.5,0,1
4/8/1993,48,12,68,0,1
4/8/1993,48,13,68.5,0,1
4/8/1993,48,14,65,0,1
4/8/1993,48,15,65.5,0,1
4/8/1993,48,16,64.5,0,1
4/8/1993,48,17,61,0,1
4/8/1993,48,18,64,0,1
4/8/1993,48,19,62,0,1
4/8/1993,48,20,64,0,1
4/8/1993,48,21,64,0,1
4/9/1993,45,1,64.5,0,5
4/9/1993,45,2,63,0,5
4/9/1993,45,3,65,0,5
4/9/1993,45,4,65.5,0,5
4/9/1993,45,5,67,0,5
4/9/1993,45,6,66,0,5
4/9/1993,45,7,67,0,5
4/9/1993,45,8,65,0,5
4/9/1993,45,9,67.5,0,5
4/9/1993,45,10,68.5,0,5
4/9/1993,45,11,63.5,0,5
4/9/1993,45,12,69,0,5
4/9/1993,45,13,66,0,5
4/9/1993,45,14,66,0,5
4/9/1993,45,15,64,0,5
4/9/1993,45,16,65,0,5
4/9/1993,45,17,63,0,5
4/9/1993,45,18,63,0,5
4/9/1993,45,19,65,0,5
4/9/1993,45,20,65,0,5
4/9/1993,45,21,66,0,5
4/10/1993,45,1,65.5,0,4
4/10/1993,45,2,65,0,4
4/10/1993,45,3,66,0,4
4/10/1993,45,4,66,0,4
4/10/1993,45,5,66.5,0,4
4/10/1993,45,6,66.5,0,4
4/10/1993,45,7,67.5,0,4
4/10/1993,45,8,67,0,4
4/10/1993,45,9,67.5,0,4
4/10/1993,45,10,68,0,4
4/10/1993,45,11,64,0,4
4/10/1993,45,12,66.5,0,4
4/10/1993,45,13,67.5,0,4
4/10/1993,45,14,66,0,4
4/10/1993,45,15,66,0,4
4/10/1993,45,16,65,0,4
4/10/1993,45,17,65,0,4
4/10/1993,45,18,64.5,0,4
4/10/1993,45,19,65.5,0,4
4/10/1993,45,20,65,0,4
4/10/1993,45,21,65.5,0,4
4/11/1993,51,1,66,1,4
4/11/1993,51,2,66,1,4
4/11/1993,51,3,67,1,4
4/11/1993,51,4,67.5,1,4
4/11/1993,51,5,66,1,4
4/11/1993,51,6,66.5,1,4
4/11/1993,51,7,67.5,1,4
4/11/1993,51,8,68,1,4
4/11/1993,51,9,67,1,4
4/11/1993,51,10,67,1,4
4/11/1993,51,11,64.5,1,4
4/11/1993,51,12,67.5,1,4
4/11/1993,51,13,66,1,4
4/11/1993,51,14,67,1,4
4/11/1993,51,15,67,1,4
4/11/1993,51,16,66.5,1,4
4/11/1993,51,17,64,1,4
4/11/1993,51,18,63.5,1,4
4/11/1993,51,19,65.5,1,4
4/11/1993,51,20,65.5,1,4
4/11/1993,51,21,67.5,1,4
4/12/1993,48,1,63.5,1,4
4/12/1993,48,2,64,1,4
4/12/1993,48,3,65,1,4
4/12/1993,48,4,65,1,4
4/12/1993,48,5,66,1,4
4/12/1993,48,6,64.5,1,4
4/12/1993,48,7,66.5,1,4
4/12/1993,48,8,65,1,4
4/12/1993,48,9,65,1,4
4/12/1993,48,10,66,1,4
4/12/1993,48,11,62,1,4
4/12/1993,48,12,67,1,4
4/12/1993,48,13,67,1,4
4/12/1993,48,14,67.5,1,4
4/12/1993,48,15,67,1,4
4/12/1993,48,16,65,1,4
4/12/1993,48,17,64,1,4
4/12/1993,48,18,63,1,4
4/12/1993,48,19,64,1,4
4/12/1993,48,20,63.5,1,4
4/12/1993,48,21,66.5,1,4
4/14/1993,46,1,63,1,1
4/14/1993,46,2,63,1,1
4/14/1993,46,3,63.5,1,1
4/14/1993,46,4,62.5,1,1
4/14/1993,46,5,64.5,1,1
4/14/1993,46,6,64,1,1
4/14/1993,46,7,67,1,1
4/14/1993,46,8,67,1,1
4/14/1993,46,9,67,1,1
4/14/1993,46,10,67.5,1,1
4/14/1993,46,11,65,1,1
4/14/1993,46,12,66,1,1
4/14/1993,46,13,67,1,1
4/14/1993,46,14,66,1,1
4/14/1993,46,15,65.5,1,1
4/14/1993,46,16,65,1,1
4/14/1993,46,17,61,1,1
4/14/1993,46,18,64,1,1
4/14/1993,46,19,64.5,1,1
4/14/1993,46,20,64.5,1,1
4/14/1993,46,21,65.5,1,1
4/15/1993,47,1,65.5,1,3
4/15/1993,47,2,65,1,3
4/15/1993,47,3,67,1,3
4/15/1993,47,4,66.5,1,3
4/15/1993,47,5,66,1,3
4/15/1993,47,6,65.5,1,3
4/15/1993,47,7,66.5,1,3
4/15/1993,47,8,66,1,3
4/15/1993,47,9,66,1,3
4/15/1993,47,10,67,1,3
4/15/1993,47,11,64,1,3
4/15/1993,47,12,67.5,1,3
4/15/1993,47,13,67.5,1,3
4/15/1993,47,14,66.5,1,3
4/15/1993,47,15,65.5,1,3
4/15/1993,47,16,65,1,3
4/15/1993,47,17,63,1,3
4/15/1993,47,18,62,1,3
4/15/1993,47,19,63.5,1,3
4/15/1993,47,20,64,1,3
4/15/1993,47,21,65,1,3
4/16/1993,63,1,69.5,1,1
4/16/1993,63,2,70,1,1
4/16/1993,63,3,71.5,1,1
4/16/1993,63,4,72,1,1
4/16/1993,63,5,70,1,1
4/16/1993,63,6,70,1,1
4/16/1993,63,7,72,1,1
4/16/1993,63,8,72.5,1,1
4/16/1993,63,9,72,1,1
4/16/1993,63,10,72,1,1
4/16/1993,63,11,69,1,1
4/16/1993,63,12,71.5,1,1
4/16/1993,63,13,71,1,1
4/16/1993,63,14,71,1,1
4/16/1993,63,15,71,1,1
4/16/1993,63,16,70.5,1,1
4/16/1993,63,17,70,1,1
4/16/1993,63,18,69.5,1,1
4/16/1993,63,19,70,1,1
4/16/1993,63,20,70,1,1
4/16/1993,63,21,71.5,1,1
4/17/1993,50,1,67.5,1,1
4/17/1993,50,2,66,1,1
4/17/1993,50,3,69.5,1,1
4/17/1993,50,4,69,1,1
4/17/1993,50,5,68.5,1,1
4/17/1993,50,6,68.5,1,1
4/17/1993,50,7,70,1,1
4/17/1993,50,8,69.5,1,1
4/17/1993,50,9,70,1,1
4/17/1993,50,10,70,1,1
4/17/1993,50,11,68.5,1,1
4/17/1993,50,12,70.5,1,1
4/17/1993,50,13,71,1,1
4/17/1993,50,14,71,1,1
4/17/1993,50,15,69,1,1
4/17/1993,50,16,70,1,1
4/17/1993,50,17,69,1,1
4/17/1993,50,18,68,1,1
4/17/1993,50,19,69,1,1
4/17/1993,50,20,69,1,1
4/17/1993,50,21,69,1,1
4/18/1993,46,1,64.5,1,1
4/18/1993,46,2,60,1,1
4/18/1993,46,3,65.5,1,1
4/18/1993,46,4,65.5,1,1
4/18/1993,46,5,65.5,1,1
4/18/1993,46,6,65,1,1
4/18/1993,46,7,64,1,1
4/18/1993,46,8,65.5,1,1
4/18/1993,46,9,65.5,1,1
4/18/1993,46,10,65,1,1
4/18/1993,46,11,64,1,1
4/18/1993,46,12,64.5,1,1
4/18/1993,46,13,65.5,1,1
4/18/1993,46,14,65.5,1,1
4/18/1993,46,15,66,1,1
4/18/1993,46,16,65,1,1
4/18/1993,46,17,64,1,1
4/18/1993,46,18,64,1,1
4/18/1993,46,19,64,1,1
4/18/1993,46,20,63.5,1,1
4/18/1993,46,21,66,1,1
4/19/1993,60,1,69.5,1,1
4/19/1993,60,2,69,1,1
4/19/1993,60,3,70,1,1
4/19/1993,60,4,69.5,1,1
4/19/1993,60,5,70.5,1,1
4/19/1993,60,6,70.5,1,1
4/19/1993,60,7,70,1,1
4/19/1993,60,8,69.5,1,1
4/19/1993,60,9,70,1,1
4/19/1993,60,10,71,1,1
4/19/1993,60,11,70,1,1
4/19/1993,60,12,70,1,1
4/19/1993,60,13,65,1,1
4/19/1993,60,14,70.5,1,1
4/19/1993,60,15,70,1,1
4/19/1993,60,16,70.5,1,1
4/19/1993,60,17,68,1,1
4/19/1993,60,18,68,1,1
4/19/1993,60,19,70,1,1
4/19/1993,60,20,69,1,1
4/19/1993,60,21,70,1,1
4/20/1993,57,1,69,1,1
4/20/1993,57,2,68,1,1
4/20/1993,57,3,69,1,1
4/20/1993,57,4,68.5,1,1
4/20/1993,57,5,70,1,1
4/20/1993,57,6,70,1,1
4/20/1993,57,7,70,1,1
4/20/1993,57,8,69,1,1
4/20/1993,57,9,67.5,1,1
4/20/1993,57,10,69.5,1,1
4/20/1993,57,11,63,1,1
4/20/1993,57,12,68,1,1
4/20/1993,57,13,67.5,1,1
4/20/1993,57,14,69,1,1
4/20/1993,57,15,69,1,1
4/20/1993,57,16,69.5,1,1
4/20/1993,57,17,64,1,1
4/20/1993,57,18,68,1,1
4/20/1993,57,19,67.5,1,1
4/20/1993,57,20,68.5,1,1
4/20/1993,57,21,67,1,1
4/21/1993,55,1,69.5,1,1
4/21/1993,55,2,65.5,1,1
4/21/1993,55,3,70,1,1
4/21/1993,55,4,62.5,1,1
4/21/1993,55,5,73.5,1,1
4/21/1993,55,6,72.5,1,1
4/21/1993,55,7,73,1,1
4/21/1993,55,8,73.5,1,1
4/21/1993,55,9,73,1,1
4/21/1993,55,10,73,1,1
4/21/1993,55,11,71,1,1
4/21/1993,55,12,73,1,1
4/21/1993,55,13,73,1,1
4/21/1993,55,14,73,1,1
4/21/1993,55,15,71.5,1,1
4/21/1993,55,16,71,1,1
4/21/1993,55,17,70.5,1,1
4/21/1993,55,18,71,1,1
4/21/1993,55,19,70,1,1
4/21/1993,55,20,70,1,1
4/21/1993,55,21,71.5,1,1
4/22/1993,46,1,66,1,4
4/22/1993,46,2,65,1,4
4/22/1993,46,3,67.5,1,4
4/22/1993,46,4,68,1,4
4/22/1993,46,5,68.5,1,4
4/22/1993,46,6,67,1,4
4/22/1993,46,7,67.5,1,4
4/22/1993,46,8,68.5,1,4
4/22/1993,46,9,67.5,1,4
4/22/1993,46,10,69,1,4
4/22/1993,46,11,65.5,1,4
4/22/1993,46,12,69,1,4
4/22/1993,46,13,67,1,4
4/22/1993,46,14,67.5,1,4
4/22/1993,46,15,67,1,4
4/22/1993,46,16,67.5,1,4
4/22/1993,46,17,65.5,1,4
4/22/1993,46,18,65,1,4
4/22/1993,46,19,66.5,1,4
4/22/1993,46,20,65,1,4
4/22/1993,46,21,69,1,4
4/23/1993,46,1,64.5,1,4
4/23/1993,46,2,65,1,4
4/23/1993,46,3,66,1,4
4/23/1993,46,4,66,1,4
4/23/1993,46,5,66.5,1,4
4/23/1993,46,6,65.5,1,4
4/23/1993,46,7,66.5,1,4
4/23/1993,46,8,65.5,1,4
4/23/1993,46,9,65,1,4
4/23/1993,46,10,65.5,1,4
4/23/1993,46,11,60,1,4
4/23/1993,46,12,67,1,4
4/23/1993,46,13,64.5,1,4
4/23/1993,46,14,67,1,4
4/23/1993,46,15,65.5,1,4
4/23/1993,46,16,64.5,1,4
4/23/1993,46,17,63.5,1,4
4/23/1993,46,18,63,1,4
4/23/1993,46,19,64,1,4
4/23/1993,46,20,65,1,4
4/23/1993,46,21,67,1,4
4/24/1993,58,1,65,1,1
4/24/1993,58,2,64,1,1
